StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q207_1,Q209,Q209_7_TEXT,Q208,Q208_7_TEXT,Q216,Q220,Q96,Q213,Q214,Q2,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q79_1,Q79_2,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q80_6,Q80_7,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,RFQ_prom1,RFQ_prom2,RFQ_prev1,RFQ_prev2,RFQ_prev3,RFQ_prom3,RFQ_prom4,RFQ_prom5,RFQ_prom6,RFQ_prev4,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q114,Q115,Q116,Q118,Q119,Q120,Q121,Q122,Q123,Q125,Q126,Q127,Q128,Q129,Q130,Q131,Q133,Q134,Q135,Q137,Q138,Q139,Q140,Q141,Q143,Q145,Q147,Q148,Q149,Q150,Q152,Q153,Q155,Q156,Q157,Q158,Q159,Q161,Q162,Q163,Q164,Q166,Q168,Q167,Q169,Q171,Q172,Q174,Q175,Q176,Q177,Q179,Q181,Q182,Q183,Q185,Q186,Q188,Q189,Q193,Q194,Q196,Q198,Q201,Q203,Q204,Q205,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q98,Q100,Q102,mTurkcode,subjectid,Enter Embedded Data Field Name Here...
2017-10-29 20:06:26,2017-10-29 21:55:20,IP Address,76.67.72.21,0,6534,False,2017-10-30 21:55:50,R_10wqBgsuBo9sOyp,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329117,test,
2017-10-29 23:01:09,2017-10-29 23:02:38,IP Address,76.67.72.21,1,88,False,2017-10-30 23:02:46,R_3QOlEDLYDpXwIGB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455372,,
2017-10-29 19:34:16,2017-10-29 23:10:47,Spam,76.67.72.21,1,12991,False,2017-10-30 23:11:12,R_1Ov4GetpfEU3aej,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585677,,
2017-10-31 10:36:56,2017-10-31 10:49:44,IP Address,142.1.240.10,100,768,True,2017-10-31 10:49:45,R_1hG9tcg2xNnzinu,,,,,43.662902832031,-79.398696899414,anonymous,EN,26,Wanted to avoid the possibility of losing many points (-9) on that turn,,Wanted the possibility to gain many points (+10) on that turn,,Yes,"wanted to make up the lost points ","Which side the machine was on ",Yes,Yes,,A little,Moderately,Not at all,Not at all,Not at all,Not at all,A little,Not at all,A little,Not at all,A little,Not at all,Not at all,Not at all,Not at all,A little,Not at all,Not at all,81,34,25,15,35,30,70,54,64,11,15,24,18,72,58,68,5,5,All of the time,All of the time,5,5,5,4,5,3,A little,Moderately,A lot,A lot,Moderately,A lot,Moderately,Likely,Unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely,Likely,Not sure,Not sure,Not sure,Very unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Not sure,Likely,Likely,Not sure,Likely,Very unlikely,Likely,Likely,Likely,Very unlikely,Likely,Unlikely,Unlikely,Unlikely,Likely,Not sure,Very unlikely,Very unlikely,Not sure,Not sure,Likely,Very unlikely,Likely,Likely,Unlikely,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Neither agree or disagree,Neither agree or disagree,Agree a little,Disagree a little,Agree a little,Agree a little,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,Very,Slightly,Very,Very,Very,Very,Slightly,Slightly,Not,Very,Slightly,Slightly,19,White,Female,327543,5004,
2017-10-29 22:01:10,2017-10-30 22:24:46,IP Address,76.67.72.21,1,87816,False,2017-10-31 22:25:17,R_11gQ1Bumj67j8ec,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61846,XXX,
2017-10-30 22:26:53,2017-10-30 22:26:58,Spam,76.67.72.21,1,4,False,2017-10-31 22:27:33,R_24MKqLJ0ydUydMz,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184754,TESTING,
2017-11-02 15:15:48,2017-11-02 15:32:55,IP Address,142.1.240.10,100,1026,True,2017-11-02 15:32:56,R_2xFQQhPOdKUkx20,,,,,43.662902832031,-79.398696899414,anonymous,EN,40,"Wanted to avoid the possibility of losing many points (-9) on that turn,Enjoyed the possibility of either gaining OR losing a small amount,Thought they would lead to earning more points in the long run",,"Wanted the possibility to gain many points (+10) on that turn,Enjoyed the possibility of either gaining OR losing a large amount,Gut feeling/intuition",,Somewhat,"I felt that often after I had chosen the blue machines for a very long time, there was a higher chance that I would gain from a red machine. Also when I got 10 points from a blue one, I was more likely to choose the red machine because the max I could lose was 10 points and the worse that would do to my score was to return it to the original score.","After choosing the blue machines for a long time, I had a gut feeling that if I chose the red machines I would gain and not lose. Also, when I gained 10 points from a blue machine, I was more likely to choose the red machine next because the worse case scenario would be I lose 10 points which would just return me to my original score.",Yes,Yes,,A little,Moderately,A little,Not at all,Not at all,Not at all,A little,Not at all,Moderately,Not at all,Not at all,A little,A lot,A little,A little,A little,Not at all,Moderately,50,55,30,10,10,40,40,30,30,35,20,10,50,50,50,50,5,4,6,5,6,4,5,3,5,5,Moderately,A lot,A lot,A lot,A lot,A lot,Moderately,Likely,Likely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Not sure,Very unlikely,Very unlikely,Not sure,Very unlikely,Very unlikely,Unlikely,Very unlikely,Unlikely,Not sure,Very unlikely,Unlikely,Likely,Unlikely,Likely,Very unlikely,Not sure,Not sure,Unlikely,Very unlikely,Likely,Very unlikely,Unlikely,Unlikely,Not sure,Not sure,Very unlikely,Very unlikely,Likely,Not sure,Likely,Likely,Likely,Unlikely,Not sure,Neither agree or disagree,Neither agree or disagree,Agree a little,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Neither agree or disagree,Neither agree or disagree,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,True,False,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,Very,Very,Very,Slightly,Slightly,Very,Very,Slightly,Slightly,Slightly,Slightly,Slightly,18,East Asian,Female,811160,5005,
2017-11-03 10:36:17,2017-11-03 10:47:30,IP Address,142.1.240.10,100,673,True,2017-11-03 10:47:31,R_1l5beWTPDBUbSdu,,,,,43.662902832031,-79.398696899414,anonymous,EN,40,"Wanted to avoid the possibility of losing many points (-9) on that turn,Thought they would lead to earning more points in the long run",,"Wanted the possibility to gain many points (+10) on that turn,Other",Gotten minus in the round prior and wanted to minimize losses as quickly as possible.,Yes,If I had gotten a minus in the round prior and I wanted to minimize losses as quickly as possible.,"Not really. ",Yes,Yes,"It was fine as it was. ",Moderately,A little,A little,A little,A lot,A lot,Moderately,Not at all,Moderately,A little,Moderately,A lot,A lot,A little,Moderately,Extremely,A lot,A lot,60,40,40,35,60,50,75,25,55,50,56,72,66,72,39,63,3,5,5,4,4,4,5,4,5,6,A little,Moderately,Not at all,Moderately,Moderately,Moderately,A lot,Likely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Not sure,Likely,Very unlikely,Likely,Very unlikely,Very unlikely,Not sure,Unlikely,Very unlikely,Likely,Unlikely,Not sure,Unlikely,Not sure,Unlikely,Very unlikely,Likely,Likely,Not sure,Unlikely,Unlikely,Not sure,Not sure,Very unlikely,Not sure,Very unlikely,Likely,Very unlikely,Very unlikely,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely,Likely,Agree a little,Neither agree or disagree,Disagree a little,Neither agree or disagree,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Neither agree or disagree,Disagree a little,Agree a little,Agree a little,Neither agree or disagree,Agree strongly,Disagree a little,Agree strongly,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,Very,Very,Very,Very,Very,Very,Very,Very,Not,Slightly,Very,Very,18,East Asian,Female,406890,5006,
2017-11-03 11:21:19,2017-11-03 11:37:56,IP Address,142.1.240.7,100,997,True,2017-11-03 11:37:57,R_r6mQLekYbWgsJVL,,,,,43.662902832031,-79.398696899414,anonymous,EN,31,Wanted to avoid the possibility of losing many points (-9) on that turn,,Wanted the possibility to gain many points (+10) on that turn,,Somewhat,If I picked the machine with a greater outcome and lost points I would shift to using the one with smaller point because it wold have a lowered impact,"At some point I tried to match picture to points, but that didn't work out.",Somewhat,Somewhat,,Moderately,A lot,Moderately,A little,Moderately,A little,Not at all,A lot,Moderately,A little,Not at all,A little,A little,A little,Moderately,Not at all,Not at all,A little,81,40,29,63,64,29,75,27,59,81,61,39,62,84,30,71,3,5,4,5,4,4,5,4,4,All of the time,A little,A lot,Moderately,Moderately,A lot,A little,Moderately,Very likely,Very unlikely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Not sure,Unlikely,Very unlikely,Very likely,Very unlikely,Very unlikely,Unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Very unlikely,Very unlikely,Very likely,Very likely,Likely,Very unlikely,Unlikely,Very unlikely,Very unlikely,Very unlikely,Not sure,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely,Likely,Very unlikely,Very unlikely,Likely,Likely,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Neither agree or disagree,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Neither agree or disagree,Agree strongly,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,True,Very,Very,Very,Very,Very,Slightly,Very,Slightly,Not,Very,Slightly,Slightly,18,Nigerian Canadian,Female,5123,5007,
2017-11-06 15:45:33,2017-11-06 15:59:32,IP Address,142.1.240.7,100,838,True,2017-11-06 15:59:32,R_2xMgtHr8AxDAd5x,,,,,43.662902832031,-79.398696899414,anonymous,EN,,"Wanted to avoid the possibility of losing many points (-9) on that turn,Thought they would lead to earning more points in the long run,Gut feeling/intuition",,"Wanted the possibility to gain many points (+10) on that turn,Gut feeling/intuition",,Yes,"when i chose the option that i want to avoid -9, the picture with -9 came up.",,Yes,Yes,,Not at all,A little,Moderately,A lot,A lot,A little,A little,A lot,A little,Moderately,A little,Moderately,A lot,Moderately,A lot,Not at all,A little,A little,41,61,23,23,46,37,19,50,18,20,20,56,38,20,56,19,5,2,3,3,2,2,2,2,4,5,Moderately,Moderately,Moderately,Moderately,Moderately,A lot,Not at all,Likely,Unlikely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Likely,Very unlikely,Very unlikely,Very likely,Very unlikely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely,Unlikely,Unlikely,Unlikely,Very unlikely,Very unlikely,Not sure,Not sure,Likely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very likely,Very unlikely,Very unlikely,Very unlikely,Unlikely,Unlikely,Unlikely,Likely,Very unlikely,Very unlikely,Not sure,Agree a little,Agree strongly,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,Very,Very,Very,Very,Very,Very,Slightly,Very,Slightly,Very,Very,Very,18,Asian,Female,285195,5008,
2017-11-06 16:27:56,2017-11-06 16:44:50,IP Address,142.1.240.10,100,1013,True,2017-11-06 16:44:50,R_1C2Yi1D7qKKtrQI,,,,,43.662902832031,-79.398696899414,anonymous,EN,20,"Wanted to avoid the possibility of losing many points (-9) on that turn,Enjoyed the possibility of either gaining OR losing a small amount,Thought they would lead to earning more points in the long run",,Never intentionally chose the larger value machines (unless no other option),,No,,I personally use the strategies like asking help from people who are good at this.,Somewhat,Somewhat,,A lot,A lot,A lot,Moderately,Moderately,Moderately,A lot,A lot,A lot,Not at all,A lot,A lot,A lot,A lot,A lot,Moderately,A lot,A lot,81,21,,28,,,100,,,,51,,,73,62,55,5,5,5,5,5,5,5,5,5,5,Moderately,Moderately,A little,A lot,A little,A lot,Moderately,Likely,Unlikely,Unlikely,Very unlikely,Very unlikely,Very unlikely,Not sure,Very unlikely,Unlikely,Likely,Unlikely,Very unlikely,Not sure,Unlikely,Unlikely,Likely,Very unlikely,Not sure,Likely,Not sure,Unlikely,Unlikely,Not sure,Not sure,Not sure,Unlikely,Unlikely,Not sure,Unlikely,Unlikely,Not sure,Unlikely,Very unlikely,Unlikely,Not sure,Not sure,Unlikely,Unlikely,Unlikely,Very unlikely,Unlikely,Neither agree or disagree,Neither agree or disagree,Agree a little,Agree strongly,Agree a little,Neither agree or disagree,Agree a little,Neither agree or disagree,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree or disagree,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,Slightly,Slightly,Slightly,Slightly,Very,Slightly,Very,Very,Slightly,Very,Slightly,Very,18,Asian,Male,150992,5009,
2017-11-09 15:20:27,2017-11-09 15:39:22,IP Address,142.1.240.10,100,1134,True,2017-11-09 15:39:23,R_28UKR1OtW1UeLDx,,,,,43.662902832031,-79.398696899414,anonymous,EN,100,Wanted to avoid the possibility of losing many points (-9) on that turn,,Wanted the possibility to gain many points (+10) on that turn,,Yes,A -9 will lead me to choose the larger value machine,"Previously I tried many larger value. When I first encounter -9 I choose to be consecutive. However, in later game, I mostly choose larger value in order to gain more even the risk of -9 still exist.",Yes,Yes,Maybe you can add a screen to show the points in total. This could lead to pressure to participants and may implicitly tempt them to make decision as you expect for this research.,Moderately,A lot,Not at all,A lot,Not at all,Not at all,Moderately,Not at all,Not at all,Not at all,Extremely,Not at all,A little,Not at all,Extremely,Not at all,Extremely,Moderately,91,10,20,1,40,1,70,86,84,40,21,84,21,100,64,73,5,2,6,6,6,4,4,4,All of the time,All of the time,Moderately,A lot,Extremely,A lot,Moderately,A lot,A little,Likely,Likely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Likely,Very unlikely,Not sure,Very likely,Unlikely,Very unlikely,Not sure,Not sure,Not sure,Likely,Not sure,Likely,Very likely,Very likely,Not sure,Very unlikely,Likely,Likely,Very likely,Likely,Likely,Very unlikely,Very unlikely,Very unlikely,Likely,Likely,Likely,Very unlikely,Likely,Not sure,Not sure,Very likely,Very likely,Very unlikely,Very unlikely,Disagree a little,Neither agree or disagree,Neither agree or disagree,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,False,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,Not,Very,Very,Very,Very,Slightly,Not,Slightly,Not,Very,Not,Slightly,18,Asian,Male,895396,5011,
2017-11-09 15:28:38,2017-11-09 15:40:00,IP Address,142.1.240.7,100,682,True,2017-11-09 15:40:01,R_1KeDtjQn4qGWKlT,,,,,43.662902832031,-79.398696899414,anonymous,EN,61,Wanted to avoid the possibility of losing many points (-9) on that turn,,Wanted the possibility to gain many points (+10) on that turn,,No,,,Yes,Yes,,Moderately,A lot,A lot,A lot,Moderately,Moderately,A little,A lot,A lot,A lot,Extremely,A lot,A lot,A lot,A lot,A lot,Extremely,Moderately,80,17,50,50,60,32,81,72,79,38,61,69,21,74,72,74,5,6,5,5,5,5,5,5,5,4,A lot,Moderately,Extremely,Moderately,A lot,Moderately,A lot,Likely,Not sure,Unlikely,Very unlikely,Very unlikely,Likely,Likely,Very unlikely,Unlikely,Likely,Likely,Very unlikely,Likely,Not sure,Likely,Likely,Likely,Not sure,Not sure,Not sure,Not sure,Likely,Likely,Not sure,Likely,Likely,Likely,Likely,Very unlikely,Unlikely,Not sure,Likely,Unlikely,Not sure,Unlikely,Not sure,Likely,Likely,Not sure,Not sure,Likely,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Neither agree or disagree,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Neither agree or disagree,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,Very,Very,Slightly,Slightly,Slightly,Very,Very,Slightly,Slightly,Slightly,Slightly,Slightly,18,,Female,577004,5012,
2017-11-09 16:26:49,2017-11-09 16:44:06,IP Address,142.1.240.10,100,1036,True,2017-11-09 16:44:07,R_22lSGTcvGBL4sj5,,,,,43.662902832031,-79.398696899414,anonymous,EN,99,Never intentionally chose the smaller value machines (unless no other option),,Wanted the possibility to gain many points (+10) on that turn,,No,,I was trying to see is there any pattern and try to figure out the value of each stamps and calculate how to get as more points as possible.,Yes,Yes,,Moderately,A lot,Moderately,A little,Moderately,A lot,A little,Moderately,A lot,Moderately,A little,A lot,A lot,Moderately,A little,Not at all,A little,A lot,70,,7,41,73,2,48,65,77,0,59,72,0,40,41,78,5,4,6,6,6,5,5,4,3,5,Not at all,A lot,A lot,Moderately,Moderately,Moderately,A little,Likely,Unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely,Very unlikely,Likely,Unlikely,Very unlikely,Not sure,Unlikely,Likely,Likely,Unlikely,Likely,Likely,Very unlikely,Not sure,Unlikely,Not sure,Not sure,Not sure,Unlikely,Unlikely,Very unlikely,Very unlikely,Likely,Not sure,Unlikely,Very unlikely,Very unlikely,Unlikely,Unlikely,Not sure,Very likely,Very likely,Unlikely,Unlikely,Disagree a little,Neither agree or disagree,Agree strongly,Agree a little,Agree a little,Neither agree or disagree,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,True,True,False,True,True,True,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,Very,Very,Very,Slightly,Slightly,Very,Very,Very,Very,Very,Very,Very,18,asian,Female,415136,5013,
2017-11-09 16:52:49,2017-11-09 17:14:21,IP Address,142.1.240.7,100,1291,True,2017-11-09 17:14:21,R_0cZlz8XQ1UUgQ5b,,,,,43.662902832031,-79.398696899414,anonymous,EN,10,"Wanted to avoid the possibility of losing many points (-9) on that turn,Enjoyed the possibility of either gaining OR losing a small amount,Thought they would lead to earning more points in the long run",,"Wanted the possibility to gain many points (+10) on that turn,Enjoyed the possibility of either gaining OR losing a large amount",,No,,,Yes,Yes,,Moderately,Moderately,A little,Moderately,Extremely,Not at all,Not at all,A lot,Not at all,Moderately,Extremely,A lot,A lot,Not at all,A lot,Moderately,Moderately,Moderately,95,30,5,5,8,18,88,88,95,2,2,5,13,68,71,87,6,6,All of the time,5,4,5,5,5,5,4,A little,Moderately,Moderately,Extremely,A lot,Extremely,Moderately,Very likely,Not sure,Not sure,Very unlikely,Very unlikely,Not sure,Very likely,Unlikely,Very unlikely,Unlikely,Not sure,Very unlikely,Very unlikely,Very unlikely,Unlikely,Very unlikely,Not sure,Likely,Not sure,Unlikely,Not sure,Not sure,Likely,Very unlikely,Very likely,Very likely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Not sure,Likely,Likely,Not sure,Not sure,Not sure,Very unlikely,Likely,Very likely,Likely,Not sure,Agree strongly,Disagree strongly,Agree strongly,Neither agree or disagree,Neither agree or disagree,Agree a little,Agree a little,Neither agree or disagree,Disagree a little,Neither agree or disagree,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree or disagree,Disagree a little,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,Not,Slightly,Not,Slightly,Slightly,Not,Not,Not,Slightly,Not,Slightly,Slightly,19,Asian,Female,800564,5014,
2017-11-09 17:08:04,2017-11-09 17:18:25,IP Address,142.1.240.6,100,621,True,2017-11-09 17:18:26,R_d5Yc8qwJUF7dTgJ,,,,,43.662902832031,-79.398696899414,anonymous,EN,89,Wanted to avoid the possibility of losing many points (-9) on that turn,,Wanted the possibility to gain many points (+10) on that turn,,No,,no,Somewhat,Somewhat,no,Moderately,Moderately,A lot,Moderately,Moderately,A lot,Moderately,Moderately,A lot,Moderately,Moderately,Moderately,Moderately,A lot,A lot,A lot,Moderately,A lot,51,51,41,19,19,42,43,8,56,30,30,31,43,31,13,32,5,3,6,5,4,6,6,3,6,4,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Likely,Not sure,Not sure,Very unlikely,Very unlikely,Very unlikely,Not sure,Not sure,Unlikely,Likely,Not sure,Very unlikely,Not sure,Not sure,Very unlikely,Not sure,Not sure,Unlikely,Not sure,Very unlikely,Not sure,Not sure,Likely,Likely,Unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Not sure,Not sure,Not sure,Not sure,Very unlikely,Likely,Not sure,Unlikely,Very unlikely,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree a little,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither agree or disagree,Agree strongly,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,True,False,True,True,True,Slightly,Very,Slightly,Very,Not,Very,Very,Very,Very,Very,Very,Very,18,no,Female,188008,5015,
